complex_id,complex_name
705,Nacional
1078,Estadio de la Cartuja
1495,Sibur Arena
2375,Complexo de Tenis do Jamor
4032,Shree Shiv Chhatrapati Sports Complex
5520,O2 Arena
5526,Ostravar Arena
6310,Varazdin Arena
6484,Arena Montpellier
6736,Arenes de Metz
6888,Palais des sports de Pau
6890,Palais des Sports Orleans
6904,Stade Pierre-de-Coubertin
7048,Palacio de Deportes Jose Maria Martin Carpena
7052,Pabellon Municipal Fuente San Luis
7208,Unipol Arena
7778,Arena Gripe
9725,Arena Armeets Sofia
10063,Kindarena
11769,Estadio German Becker
12241,Palais des sports de Gerland
15014,Palais Des Sport
15371,Palasport
16020,Salle Steredenn
16069,Garanti Koza Arena
16612,Porsche-Arena
17254,Poliesportiu d'Andorra
17945,Rotterdam Ahoy
18201,The O2
18221,Bluesun Tennis Center
19166,Shlomo Group Arena
19737,"Club Sonoma, Estadio Gnp Seguros"
19951,Accor Arena
21870,Stadium Goran Ivanisevic in ITC Stella Maris
21910,Roy Emerson Arena
26983,Club de Tenis Puente Romano
26985,National Tennis Center
27093,Canberra Tennis Centre
27095,BT Arena
28457,Valletta Cambiaso ASD
28617,Porsche Arena
32327,Taipei Arena
32403,Ohio State University GC
32668,Shenzhen Bay Sports Center
32812,Singapore Indoor Stadium
33186,Palais des Sports de Marseille
33188,Caja Magica
33190,All England Lawn Tennis and Croquet Club
33192,Stade Roland Garros
33194,Complexe Al Amal
33196,Melbourne Park
33198,Qi zhong Forest Sports City Arena
33200,Wake Forest University Tennis Complex
33204,Clube de Ténis do Estoril
33206,The Drive
33208,Atlantic Station
33210,International Tennis Hall of Fame
33214,Club Jacaranda Cumbaya
33218,Hengqin International Tennis Center Zhuhai
33222,Buenos Aires Lawn Tennis Club
33226,The Racquet Club of Memphis
33228,Delray Beach Tennis Center
33230,CK Sportcenter Kockelscheuer
33232,Singapore Sports Hub
33234,Linzer Sporthalle
33236,Luzhniki Olympic Complex
33238,Ariake Colosseum
33240,Optics Valley International Tennis Center
33242,Guangzhou Tianhe Sports Center
33244,Olympic Park Tennis Center
33246,Victoria Park Tennis Court
33248,Tianjin Tuanbo International Tennis Center
33250,Tashkent Tennis Centreake
33252,China National Tennis Center
33254,Utsubo Tennis Center
33258,Connecticut Tennis Center
33262,Santa Catarina Tennis Federation
33264,Baku Tennis Academy
33266,Sobeys Stadium
33268,Lindner Family Tennis Center
33270,Taube Tennis Stadium
33274,Tennis Club de Strasbourg
33276,Edgbaston Priory Club
33278,Royal Tennis Club de Marrakech
33280,Tennis Club 1.FCN
33282,Devonshire Park International Tennis Centre
33286,Tennis Club Sparta Praha
33288,Club Campestre El Rancho
33290,Khalifa International Tennis & Squash Complex
33292,Club Sonoma
33294,Centre Municipal de Tennis Vall d Hebron
33296,Jockey Club Brasileiro
33298,Acapulco Princess Mundo Imperial
33300,Tennis Center at Crandon Park
33302,Family Circle Tennis Center
33306,Indian Wells Tennis Garden
33310,Aviation Club Tennis Centre
33316,Indianapolis Tennis Center
33318,SKT Sopot
33320,St. Jakobshalle Basel
33322,"Wien, Wiener Stadthalle"
33324,L'Agora
33328,ASB Tennis Centre
33332,NSW Tennis Centre
33334,Shenzhen Longgang Sports Center
33336,Queensland Tennis Centre
33338,Am Rothenbaum
33340,Kungliga Tennishallen
33342,Kitzbuehel Tennis Club Sportfeld 2
33344,The Queens Club
33346,Gerry Weber Stadium
33348,Nottingham Tennis Centre
33350,Bastad Tennis Stadium
33354,Nice Lawn Tennis Club
33356,Tennis Club de Geneve
33358,Koza World of Sport Complex
33362,Tennis Club Weissenhof
33364,Autotron Rosmalen
33366,BNR arena
33368,MTTC Iphitos e.V.
33370,Monte-Carlo Country Club
33372,Real Club de Tenis Barcelona
33374,Hiroshima Regional Park
33380,Europe Tennis Center
33382,Tennis Club Lido Lugano
33386,Nemzeti Edzes Kozpont
33390,Lyon Tennis Club
33392,Sichuan International Tennis Center
33394,Swiss Tennis Arena
33400,Nanchang International Tennis Center
33402,Louisville Boat Club
33406,Rochusclub
33408,Shenzhen Luohu Tennis Centre
33410,Yang-Ming Tennis Centre
33418,Country Club Santa Ponsa
33422,Royal Primerose Tennis Club
33424,The Tennis Center at College Park
33426,Tennis Center Novak
33428,Farum Arena
33430,Racquet Club of the South
33434,Atlanta Athletic Club
33436,Madrid Arena
33438,Club Avantage Multi-Sports
33440,Rama Gardens Hotel
33442,Delmar International School
33444,OMNI LA COSTA RESORT & SPA
33446,Country Time Club
33448,ŠRC MARINA PORTOROŽ
33450,Fangcun Tennis Sports Center
33454,Netaji Indoor Stadium
33456,Holiday Inn Crowne Plaza Hotel Asheville
33458,Ligue d'Alsace de Tennis
33460,I. Czech Lawn Tennis Club Praha
33462,Fes Country Club
33466,Warszawianka Tennis Centre
33468,LTTC Rot-Weiss
