venue_id,venue_name,city_name,country_name,country_code,timezone,complex_id
70045,Cancha Central,Santiago,Chile,CHL,America/Santiago,705
74856,Centre Court,Seville,Spain,ESP,Europe/Madrid,1078
74858,Court One,Seville,Spain,ESP,Europe/Madrid,1078
1496,COURT 1,Saint Petersburg,Russia,RUS,Europe/Moscow,1495
1500,CENTER COURT,Saint Petersburg,Russia,RUS,Europe/Moscow,1495
62149,Sibur Arena,Saint Petersburg,Russia,RUS,Europe/Moscow,1495
62153,TC Dynamo,Saint Petersburg,Russia,RUS,Europe/Moscow,1495
57912,Central,Oeiras,Portugal,PRT,Europe/Lisbon,2375
70805,Campo 3,Oeiras,Portugal,PRT,Europe/Lisbon,2375
70807,Campo 4,Oeiras,Portugal,PRT,Europe/Lisbon,2375
77423,Campo 1,Oeiras,Portugal,PRT,Europe/Lisbon,2375
77437,Campo 8,Oeiras,Portugal,PRT,Europe/Lisbon,2375
13912,Centre Court,Ostrava,Czechia,CZE,Europe/Prague,5526
13914,Court 3,Ostrava,Czechia,CZE,Europe/Prague,5526
13916,Court 6,Ostrava,Czechia,CZE,Europe/Prague,5526
13942,Court 4,Ostrava,Czechia,CZE,Europe/Prague,5526
55221,Court 1,Ostrava,Czechia,CZE,Europe/Prague,5526
55223,Court 2,Ostrava,Czechia,CZE,Europe/Prague,5526
77271,Table 1,Varazdin,Croatia,HRV,Europe/Zagreb,6310
77273,Table 2,Varazdin,Croatia,HRV,Europe/Zagreb,6310
77275,Table 3,Varazdin,Croatia,HRV,Europe/Zagreb,6310
77277,Table 4,Varazdin,Croatia,HRV,Europe/Zagreb,6310
77279,Table 5,Varazdin,Croatia,HRV,Europe/Zagreb,6310
77281,Table 6,Varazdin,Croatia,HRV,Europe/Zagreb,6310
77283,Table 7,Varazdin,Croatia,HRV,Europe/Zagreb,6310
77285,Table 8,Varazdin,Croatia,HRV,Europe/Zagreb,6310
2146,Court 1,Montpellier,France,FRA,Europe/Paris,6484
19477,Court Patrice Dominguez,Montpellier,France,FRA,Europe/Paris,6484
30567,Court Central,Montpellier,France,FRA,Europe/Paris,6484
30569,Court 2,Montpellier,France,FRA,Europe/Paris,6484
39934,Court 3,Montpellier,France,FRA,Europe/Paris,6484
66107,Court 2,Orchies,France,FRA,Europe/Paris,6890
66109,Court 3,Orleans,France,FRA,Europe/Paris,6890
66111,Court 4,Orleans,France,FRA,Europe/Paris,6890
70605,Court 5,Orleans,France,FRA,Europe/Paris,6890
74195,Center Court,Orleans,France,FRA,Europe/Paris,6890
74197,Court 1,Orleans,France,FRA,Europe/Paris,6890
72565,Pista Cental,Malaga,Spain,ESP,Europe/Madrid,7048
72567,Pista 2,Malaga,Spain,ESP,Europe/Madrid,7048
72569,Pista 3,Malaga,Spain,ESP,Europe/Madrid,7048
72571,Pista 4,Malaga,Spain,ESP,Europe/Madrid,7048
17756,Center Court,Sofia,Bulgaria,BGR,Europe/Sofia,9725
17758,Court 1,Sofia,Bulgaria,BGR,Europe/Sofia,9725
23352,Court 3,Sofia,Bulgaria,BGR,Europe/Sofia,9725
23354,Court 4,Sofia,Bulgaria,BGR,Europe/Sofia,9725
23356,Court 2,Sofia,Bulgaria,BGR,Europe/Sofia,9725
66889,Center Court,Rouen,France,FRA,Europe/Paris,10063
66925,Amelie Mauresmo,Rouen,France,FRA,Europe/Paris,10063
66979,Celine Dumerc,Rouen,France,FRA,Europe/Paris,10063
74546,Court 1,Rouen,France,FRA,Europe/Paris,10063
67857,Cancha Central,Temuco,Chile,CHL,America/Santiago,11769
67859,Cancha 1,Temuco,Chile,CHL,America/Santiago,11769
67861,Cancha 2,Temuco,Chile,CHL,America/Santiago,11769
67863,Cancha 3,Temuco,Chile,CHL,America/Santiago,11769
30465,Indoor 1,Lyon,France,FRA,Europe/Paris,12241
30467,Indoor 2,Lyon,France,FRA,Europe/Paris,12241
30469,Indoor 3,Lyon,France,FRA,Europe/Paris,12241
39773,Court 23,Lyon,France,FRA,Europe/Paris,12241
39842,Court 14,Lyon,France,FRA,Europe/Paris,12241
39844,Court 15,Lyon,France,FRA,Europe/Paris,12241
58692,Court 12,Lyon,France,FRA,Europe/Paris,12241
15010,La Foret 3,Orleans,France,FRA,Europe/Paris,15014
16880,Central Court,Orleans,France,FRA,Europe/Paris,15014
23652,La Foret 2,Orleans,France,FRA,Europe/Paris,15014
66105,Court 1,Orleans,France,FRA,Europe/Paris,15014
66137,La Foret 4,Orleans,France,FRA,Europe/Paris,15014
66139,La Foret 1,Orleans,France,FRA,Europe/Paris,15014
70603,Court 2,Orleans,France,FRA,Europe/Paris,15014
67869,Court 2,Andria,Italy,ITA,Europe/Rome,15371
67871,Court 3,Andria,Italy,ITA,Europe/Rome,15371
68095,Campo Tato Paride,Andria,Italy,ITA,Europe/Rome,15371
68097,Campo Arpex,Andria,Italy,ITA,Europe/Rome,15371
16022,Atg 3,Saint-Brieuc,France,FRA,Europe/Paris,16020
18015,Atg 4,Saint-Brieuc,France,FRA,Europe/Paris,16020
28371,Tcsb 4,Saint-Brieuc,France,FRA,Europe/Paris,16020
28373,Tcsb 3,Saint-Brieuc,France,FRA,Europe/Paris,16020
62697,Court Steredenn,Saint-Brieuc,France,FRA,Europe/Paris,16020
